number_of_trees,mtry,min_observations,terminal_nodes,accuracy
1500,4,50,1e3,0.733721774764986
1500,4,50,2500,0.7371554513675657
1500,4,100,100,0.727052234399357
1500,4,100,500,0.7330648589919219
1500,4,100,1e3,0.7339328735414997
1500,4,100,2500,0.7379570362322262
1500,4,150,100,0.7271127592233929
1500,4,150,500,0.7330412395483968
1500,4,150,1e3,0.7355581864991257
1500,4,150,2500,0.7379968940431759
2e3,1,1,100,0.7202291676508099
2e3,1,1,500,0.7220242453587798
2e3,1,1,1e3,0.721584333223109
2e3,1,1,2500,0.720918560158723
2e3,1,10,100,0.7198896381501254
2e3,1,10,500,0.7208078440171953
2e3,1,10,1e3,0.7210588006046572
2e3,1,10,2500,0.7220419599414234
2e3,1,25,100,0.7203679318815244
2e3,1,25,500,0.7208742737021113
2e3,1,25,1e3,0.7209052742217397
2e3,1,25,2500,0.721977006471727
2e3,1,50,100,0.7210735627568619
2e3,1,50,500,0.7210558481742172
2e3,1,50,1e3,0.7206882705843458
2e3,1,50,2500,0.7211222778591333
2e3,1,100,100,0.7202970735509464
2e3,1,100,500,0.7206174122537677
2e3,1,100,1e3,0.7218662903301993
2e3,1,100,2500,0.7216596201993486
2e3,1,150,100,0.720494886390477
2e3,1,150,500,0.7205421252775281
2e3,1,150,1e3,0.7209377509565879
2e3,1,150,2500,0.7213761868770369
2e3,2,1,100,0.7251479167650807
2e3,2,1,500,0.728723310028816
2e3,2,1,1e3,0.7293580825735742
2e3,2,1,2500,0.7301124285511829
2e3,2,10,100,0.7252335372478618
2e3,2,10,500,0.7288724077660734
2e3,2,10,1e3,0.7296488969719872
2e3,2,10,2500,0.7306010557891252
2e3,2,25,100,0.72565721101610825
2e3,2,25,500,0.7289358850205494
2e3,2,25,1e3,0.7292857480277762
2e3,2,25,2500,0.7300784756011149
2e3,2,50,100,0.7259996929472344
2e3,2,50,500,0.728797120789834
2e3,2,50,1e3,0.7300135221314186
2e3,2,50,2500,0.7305021493693609
2e3,2,100,100,0.725604067268175
2e3,2,100,500,0.7288665029051917
2e3,2,100,1e3,0.7300209032075201
2e3,2,100,2500,0.7303456705560017
2e3,2,150,100,0.7253353960980683
2e3,2,150,500,0.7290303627946523
2e3,2,150,1e3,0.7297478033917516
2e3,2,150,2500,0.7301965728187441
2e3,3,1,100,0.725142011904199
2e3,3,1,500,0.7309612523028951
2e3,3,1,1e3,0.7332671004771123
2e3,3,1,2500,0.7349071755869427
2e3,3,10,100,0.7251671075629457
2e3,3,10,500,0.7310645873683213
2e3,3,10,1e3,0.7332346237422642
2e3,3,10,2500,0.7357279512494681
2e3,3,25,100,0.7256557348008879
2e3,3,25,500,0.731290448297038
2e3,3,25,1e3,0.7333660068968778
2e3,3,25,2500,0.7366683003448443
2e3,3,50,100,0.7258771670839433
2e3,3,50,500,0.7322440833293964
2e3,3,50,1e3,0.7333822452643013
2e3,3,50,2500,0.7375245051726582
2e3,3,100,100,0.7253206339458647
2e3,3,100,500,0.732621994425811
2e3,3,100,1e3,0.7336612499409516
2e3,3,100,2500,0.738262612782843
2e3,3,150,100,0.7255819240398699
2e3,3,150,500,0.7328537602154094
2e3,3,150,1e3,0.7343594997401858
2e3,3,150,2500,0.738709905994615
2e3,4,1,100,0.7270861873494265
2e3,4,1,500,0.7290716968208224
2e3,4,1,1e3,0.7330633827767015
2e3,4,1,2500,0.7354164698379704
2e3,4,10,100,0.7269193750295242
2e3,4,10,500,0.7292163659124196
2e3,4,10,1e3,0.7330368109027349
2e3,4,10,2500,0.7356585691341117
2e3,4,25,100,0.7271127592233929
2e3,4,25,500,0.729269509660353
2e3,4,25,1e3,0.7334811516840662
2e3,4,25,2500,0.7359744791912701
2e3,4,50,100,0.7267230384052155
2e3,4,50,500,0.72917946053191
2e3,4,50,1e3,0.7337394893476311
2e3,4,50,2500,0.7372218810524829
2e3,4,100,100,0.7270507581841367
2e3,4,100,500,0.7331047168028727
2e3,4,100,1e3,0.7340199702395012
2e3,4,100,2500,0.7380219897019226
2e3,4,150,100,0.7270965208559681
2e3,4,150,500,0.7329600477112758
2e3,4,150,1e3,0.735580329727432
2e3,4,150,2500,0.7379939416127356
2500,1,1,100,0.7211193254286933
2500,1,1,500,0.7212448037224244
2500,1,1,1e3,0.7213614247248338
2500,1,1,2500,0.7217437644669098
2500,1,10,100,0.7208727974868916
2500,1,10,500,0.7218530043932161
2500,1,10,1e3,0.7209672752609944
2500,1,10,2500,0.7207104138126508
2500,1,25,100,0.7199398294676183
2500,1,25,500,0.7215223321838544
2500,1,25,1e3,0.7211591832396433
2500,1,25,2500,0.7215341419056163
2500,1,50,100,0.7205598398601734
2500,1,50,500,0.7216079526666355
2500,1,50,1e3,0.7209657990457742
2500,1,50,2500,0.7219460059521002
2500,1,100,100,0.7207797959280086
2500,1,100,500,0.720933322310926
2500,1,100,1e3,0.7214632835750382
2500,1,100,2500,0.721622714818839
2500,1,150,100,0.7203251216401347
2500,1,150,500,0.7219430535216587
2500,1,150,1e3,0.7216670012754506
2500,1,150,2500,0.7207812721432287
2500,2,1,100,0.7253088242241017
2500,2,1,500,0.7287454532571209
2500,2,1,1e3,0.7292045561906566
2500,2,1,2500,0.730144905286031
2500,2,10,100,0.7252615853370501
2500,2,10,500,0.7287587391941042
2500,2,10,1e3,0.7292975577495392
2500,2,10,2500,0.7303825759365113
2500,2,25,100,0.7264691293873119
2500,2,25,500,0.7287661202702072
2500,2,25,1e3,0.7299160919268741
2500,2,25,2500,0.7301950966035243
2500,2,50,100,0.7254653030374608
2500,2,50,500,0.7288133591572589
2500,2,50,1e3,0.7297035169351406
2500,2,50,2500,0.7304416245453259
2500,2,100,100,0.7265798455288396
2500,2,100,500,0.7290406963011955
2500,2,100,1e3,0.730006141055317
2500,2,100,2500,0.730668961689263
2500,2,150,100,0.7253088242241017
2500,2,150,500,0.7291587935188252
2500,2,150,1e3,0.7301434290708113
2500,2,150,2500,0.7304401483301047
2500,3,1,100,0.726041026973404
2500,3,1,500,0.7308830128962156
2500,3,1,1e3,0.7332154329444004
2500,3,1,2500,0.7348584604846711
2500,3,10,100,0.7252113940195573
2500,3,10,500,0.7308859653266572
2500,3,10,1e3,0.7332892437054187
2500,3,10,2500,0.7354696135859043
2500,3,25,100,0.7255022084179689
2500,3,25,500,0.7317510274457936
2500,3,25,1e3,0.733326149085927
2500,3,25,2500,0.7365649652794182
2500,3,50,100,0.7251744886390472
2500,3,50,500,0.7319326019178992
2500,3,50,1e3,0.7333054820728422
2500,3,50,2500,0.7375215527422179
2500,3,100,100,0.7274212882044496
2500,3,100,500,0.7328626175067313
2500,3,100,1e3,0.7335254381406772
2500,3,100,2500,0.7381888020218246
2500,3,150,100,0.72622407766073
2500,3,150,500,0.7330087628135487
2500,3,150,1e3,0.7340731139874341
2500,3,150,2500,0.7390110538995698
2500,4,1,100,0.7271349024516979
2500,4,1,500,0.7291514124427232
2500,4,1,1e3,0.7328744272284942
2500,4,1,2500,0.7354474703575982
2500,4,10,100,0.7269621852709155
2500,4,10,500,0.7292296518494028
2500,4,10,1e3,0.732923142330767
2500,4,10,2500,0.735608377816619
2500,4,25,100,0.727123092729935
2500,4,25,500,0.7291809367471298
2500,4,25,1e3,0.7334767230384055
2500,4,25,2500,0.7358962397845906
2500,4,50,100,0.7271334262364783
2500,4,50,500,0.7293270820539471
2500,4,50,1e3,0.7337129174736646
2500,4,50,2500,0.7371938329632949
2500,4,100,100,0.7269001842316593
2500,4,100,500,0.7330574779158203
2500,4,100,1e3,0.7339933983655348
2500,4,100,2500,0.737934893003921
2500,4,150,100,0.727078806273325
2500,4,150,500,0.7329290471916486
2500,4,150,1e3,0.7354725660163447
2500,4,150,2500,0.7379747508148706
3e3,1,1,100,0.7211163729982515
3e3,1,1,500,0.7216861920733151
3e3,1,1,1e3,0.7213584722943922
3e3,1,1,2500,0.7209835136284193
3e3,1,10,100,0.720494886390477
3e3,1,10,500,0.7207606051301436
3e3,1,10,1e3,0.7206380792668529
3e3,1,10,2500,0.721693573149417
3e3,1,25,100,0.7205672209362749
3e3,1,25,500,0.7209436558174691
3e3,1,25,1e3,0.72110603949171
3e3,1,25,2500,0.7209967995654025
3e3,1,50,100,0.7205554112145115
3e3,1,50,500,0.7208609877651281
3e3,1,50,1e3,0.7206469365581742
3e3,1,50,2500,0.7217644314799946
3e3,1,100,100,0.7201376423071472
3e3,1,100,500,0.7209554655392326
3e3,1,100,1e3,0.7207930818649917
3e3,1,100,2500,0.7213319004204257
3e3,1,150,100,0.7203590745902027
3e3,1,150,500,0.720670556001701
3e3,1,150,1e3,0.7220360550805417
3e3,1,150,2500,0.721884004912844
3e3,2,1,100,0.7250741060040631
3e3,2,1,500,0.7287292148896976
3e3,2,1,1e3,0.7292148896971983
3e3,2,1,2500,0.7308771080353351
3e3,2,10,100,0.7256114483442768
3e3,2,10,500,0.7287277386744772
3e3,2,10,1e3,0.7292724620907926
3e3,2,10,2500,0.7305065780150223
3e3,2,25,100,0.7256144007747181
3e3,2,25,500,0.7288340261703437
3e3,2,25,1e3,0.7294717511455434
3e3,2,25,2500,0.730568579054277
3e3,2,50,100,0.7255435424441404
3e3,2,50,500,0.7289476947423115
3e3,2,50,1e3,0.729893948698569
3e3,2,50,2500,0.7302113349709477
3e3,2,100,100,0.7252246799565406
3e3,2,100,500,0.7288650266899714
3e3,2,100,1e3,0.7298408049506347
3e3,2,100,2500,0.730358956492985
3e3,2,150,100,0.725426921441731
3e3,2,150,500,0.7291248405687567
3e3,2,150,1e3,0.7301714771599975
3e3,2,150,2500,0.7300651896641317
3e3,3,1,100,0.7254062544286463
3e3,3,1,500,0.730668961689263
3e3,3,1,1e3,0.733168194057348
3e3,3,1,2500,0.7347935070149747
3e3,3,10,100,0.7253250625915251
3e3,3,10,500,0.7313967357929044
3e3,3,10,1e3,0.7332818626293166
3e3,3,10,2500,0.7355109476120745
3e3,3,25,100,0.7253014431479998
3e3,3,25,500,0.7313037342340213
3e3,3,25,1e3,0.7332921961358589
3e3,3,25,2500,0.7367819689168124
3e3,3,50,100,0.7268352307619629
3e3,3,50,500,0.732074318579054
3e3,3,50,1e3,0.7333704355425384
3e3,3,50,2500,0.7373458831309938
3e3,3,100,100,0.7252940620718983
3e3,3,100,500,0.7327873305304932
3e3,3,100,1e3,0.7336081061930186
3e3,3,100,2500,0.7383689002787096
3e3,3,150,100,0.7254520171004777
3e3,3,150,500,0.7329009991024605
3e3,3,150,1e3,0.7342015447116068
3e3,3,150,2500,0.738776335679531
3e3,4,1,100,0.7270064717275256
3e3,4,1,500,0.7291779843166897
3e3,4,1,1e3,0.7330368109027349
3e3,4,1,2500,0.7352762293920359
3e3,4,10,100,0.7271334262364783
3e3,4,10,500,0.7291927464688932
3e3,4,10,1e3,0.7329452855590721
3e3,4,10,2500,0.7356039491709572
3e3,4,25,100,0.7270625679059001
3e3,4,25,500,0.7293049388256407
3e3,4,25,1e3,0.7334590084557611
3e3,4,25,2500,0.7361043861306629
3e3,4,50,100,0.7270241863101702
3e3,4,50,500,0.7292429377863859
3e3,4,50,1e3,0.7337453942085128
3e3,4,50,2500,0.7371362605697007
3e3,4,100,100,0.7269990906514241
3e3,4,100,500,0.7330102390287685
3e3,4,100,1e3,0.7339594454154661
3e3,4,100,2500,0.7378950351929712
3e3,4,150,100,0.7270138528036286
3e3,4,150,500,0.7329851433700219
3e3,4,150,1e3,0.7355065189664127
3e3,4,150,2500,0.7378935589777507
3500,1,1,100,0.7203885988946108
3500,1,1,500,0.7210307525154704
3500,1,1,1e3,0.7214426165619534
3500,1,1,2500,0.7209377509565879
3500,1,10,100,0.7205199820492233
3500,1,10,500,0.7218943384193872
3500,1,10,1e3,0.7204402664273223
3500,1,10,2500,0.7213894728140201
3500,1,25,100,0.7205686971514946
3500,1,25,500,0.7204904577448151
3500,1,25,1e3,0.7210204190089289
3500,1,25,2500,0.7213806155226987
3500,1,50,100,0.7207310808257354
3500,1,50,500,0.7213983301053435
3500,1,50,1e3,0.7206144598233261
3500,1,50,2500,0.7212064221266945
3500,1,100,100,0.7203635032358642
3500,1,100,500,0.7210927535547267
3500,1,100,1e3,0.7212566134441878
3500,1,100,2500,0.7206690797864808
3500,1,150,100,0.72050669611224
3500,1,150,500,0.7213983301053435
3500,1,150,1e3,0.7210012282110639
3500,1,150,2500,0.7217245736690449
3500,2,1,100,0.7258786432991636
3500,2,1,500,0.728707071661391
3500,2,1,1e3,0.7292444140016063
3500,2,1,2500,0.7305287212433272
3500,2,10,100,0.7249855330908399
3500,2,10,500,0.728767596485427
3500,2,10,1e3,0.7292370329255048
3500,2,10,2500,0.7302349544144741
3500,2,25,100,0.7253900160612214
3500,2,25,500,0.7287218338135956
3500,2,25,1e3,0.72945994142378
3500,2,25,2500,0.7305700552694974
3500,2,50,100,0.725441683593934
3500,2,50,500,0.7288871699182764
3500,2,50,1e3,0.7299795691813507
3500,2,50,2500,0.7299500448769426
3500,2,100,100,0.7253014431479998
3500,2,100,500,0.7289964098445844
3500,2,100,1e3,0.7298171855071097
3500,2,100,2500,0.730444576975766
3500,2,150,100,0.7255184467853938
3500,2,150,500,0.7291440313666216
3500,2,150,1e3,0.7300312367140632
3500,2,150,2500,0.729730088809107
3500,3,1,100,0.7256232580660398
3500,3,1,500,0.7308283929330622
3500,3,1,1e3,0.7331770513486705
3500,3,1,2500,0.7348732226368747
3500,3,10,100,0.7253457296046099
3500,3,10,500,0.7309804431007602
3500,3,10,1e3,0.7333025296424018
3500,3,10,2500,0.735395802824885
3500,3,25,100,0.725139059473759
3500,3,25,500,0.7317377415088103
3500,3,25,1e3,0.7333719117577595
3500,3,25,2500,0.7363671524398885
3500,3,50,100,0.7257251169162457
3500,3,50,500,0.7320005078180358
3500,3,50,1e3,0.7333099107185035
3500,3,50,2500,0.7375525532618452
3500,3,100,100,0.7258550238556384
3500,3,100,500,0.7327755208087299
3500,3,100,1e3,0.7336922504605793
3500,3,100,2500,0.7382640889980627
3500,3,150,100,0.72766191128537006
3500,3,150,500,0.7330707638528035
3500,3,150,1e3,0.7341985922811655
3500,3,150,2500,0.738637571448817
3500,4,1,100,0.7269164225990841
3500,4,1,500,0.7291927464688932
3500,4,1,1e3,0.7328803320893758
3500,4,1,2500,0.7354341844206148
3500,4,10,100,0.7270433771080351
3500,4,10,500,0.7292680334451326
3500,4,10,1e3,0.732955619065615
3500,4,10,2500,0.7356600453493322
3500,4,25,100,0.7271186640842745
3500,4,25,500,0.7293507014974726
3500,4,25,1e3,0.7335889153951537
3500,4,25,2500,0.7358504771127593
3500,4,50,100,0.727115711653833
3500,4,50,500,0.7299559497378239
3500,4,50,1e3,0.7337070126127829
3500,4,50,2500,0.7368956374887805
3500,4,100,100,0.7270758538428833
3500,4,100,500,0.7331711464877889
3500,4,100,1e3,0.7339033492370917
3500,4,100,2500,0.7377946525579855
3500,4,150,100,0.7270227100949505
3500,4,150,500,0.7329954768765647
3500,4,150,1e3,0.7355242335490578
3500,4,150,2500,0.7377252704426289
4e3,1,1,100,0.7199664013415846
4e3,1,1,500,0.720633650621191
4e3,1,1,1e3,0.7202380249421317
4e3,1,1,2500,0.7208698450564499
4e3,1,10,100,0.7203059308422698
4e3,1,10,500,0.7208181775237368
4e3,1,10,1e3,0.7210691341112003
4e3,1,10,2500,0.7221379139307476
4e3,1,25,100,0.7204063134772543
4e3,1,25,500,0.721038133591572
4e3,1,25,1e3,0.7218958146346075
4e3,1,25,2500,0.7206543176342761
4e3,1,50,100,0.7201081180027391
4e3,1,50,500,0.7211621356700834
4e3,1,50,1e3,0.7209790849827574
4e3,1,50,2500,0.7212566134441878
4e3,1,100,100,0.721176897822288
4e3,1,100,500,0.7207606051301436
4e3,1,100,1e3,0.7212639945202893
4e3,1,100,2500,0.7220375312957631
4e3,1,150,100,0.7203590745902027
4e3,1,150,500,0.7209628466153342
4e3,1,150,1e3,0.7207000803061075
4e3,1,150,2500,0.7211901837592712
4e3,2,1,100,0.7250490103453165
4e3,2,1,500,0.7287085478766123
4e3,2,1,1e3,0.7291942226841129
4e3,2,1,2500,0.7301995252491856
4e3,2,10,100,0.725158250271624
4e3,2,10,500,0.7287055954461708
4e3,2,10,1e3,0.7292104610515379
4e3,2,10,2500,0.7303353370494587
4e3,2,25,100,0.7255627332420054
4e3,2,25,500,0.7287853110680707
4e3,2,25,1e3,0.7294171311823888
4e3,2,25,2500,0.7303264797581368
