number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
100,9,9,0.05,20,6,0.275696
100,13,13,0.05,20,10,0.26952940000000003
100,16,16,0.05,20,20,0.2617486
100,1,1,0.05,50,2,0.2802488
100,1,1,0.05,50,4,0.28024879999999996
100,8,8,0.05,50,6,0.2756703
100,7,7,0.05,50,10,0.2703381
100,3,3,0.05,50,20,0.26278809999999997
100,1,1,0.05,100,2,0.2802487
100,1,1,0.05,100,4,0.2802485
100,1,1,0.05,100,6,0.2757315
100,41,41,0.05,100,10,0.2701768
100,1,1,0.05,100,20,0.2645654
100,1,1,0.1,1,2,0.2802487
100,100,100,0.1,1,4,0.269858
100,3,3,0.1,1,6,0.27575689999999997
100,94,94,0.1,1,10,0.2620499
100,18,18,0.1,1,20,0.2627999
100,1,1,0.1,5,2,0.2802486
100,100,100,0.1,5,4,0.2699269
100,4,4,0.1,5,6,0.2756232
100,99,99,0.1,5,10,0.2619161
100,22,22,0.1,5,20,0.2603631
100,1,1,0.1,20,2,0.2802486
100,100,100,0.1,20,4,0.2701415
100,3,3,0.1,20,6,0.2756605
100,74,74,0.1,20,10,0.2639315
100,10,10,0.1,20,20,0.2615184
100,1,1,0.1,50,2,0.2802486
100,85,85,0.1,50,4,0.2714641
100,3,3,0.1,50,6,0.2757275
100,4,4,0.1,50,10,0.2702085
100,1,1,0.1,50,20,0.2628018
100,1,1,0.1,100,2,0.2802486
100,28,28,0.1,100,4,0.2769044
100,1,1,0.1,100,6,0.275749
100,24,24,0.1,100,10,0.2699189
100,4,4,0.1,100,20,0.26460859999999997
500,1,1,0.001,1,2,0.2802486
500,1,1,0.001,1,4,0.2799634
500,2,2,0.001,1,6,0.27577450000000003
500,1,1,0.001,1,10,0.27112179999999997
500,1,1,0.001,1,20,0.2650415
500,1,1,0.001,5,2,0.2802485
500,1,1,0.001,5,4,0.2801089
500,7,7,0.001,5,6,0.2758044
500,1,1,0.001,5,10,0.2712279
500,39,39,0.001,5,20,0.2617804
500,1,1,0.001,20,2,0.28024879999999996
500,1,1,0.001,20,4,0.2802486
500,2,2,0.001,20,6,0.2757749
500,1,1,0.001,20,10,0.2710842
500,1,1,0.001,20,20,0.2621503
500,1,1,0.001,50,2,0.2802486
500,1,1,0.001,50,4,0.2802486
500,1,1,0.001,50,6,0.275763
500,1,1,0.001,50,10,0.2713027
500,7,7,0.001,50,20,0.26280159999999997
500,1,1,0.001,100,2,0.2802485
500,1,1,0.001,100,4,0.2802486
500,1,1,0.001,100,6,0.2757037
500,2,2,0.001,100,10,0.2725112
500,1,1,0.001,100,20,0.2648783
500,1,1,0.003,1,2,0.2802487
500,1,1,0.003,1,4,0.28025659999999997
500,18,18,0.003,1,6,0.2756744
500,1,1,0.003,1,10,0.2712989
500,49,49,0.003,1,20,0.2646519
500,1,1,0.003,5,2,0.2802486
500,10,10,0.003,5,4,0.2802546
500,4,4,0.003,5,6,0.2757434
500,3,3,0.003,5,10,0.2710784
500,41,41,0.003,5,20,0.2618648
500,1,1,0.003,20,2,0.2802486
500,1,1,0.003,20,4,0.2802485
500,18,18,0.003,20,6,0.2756704
500,1,1,0.003,20,10,0.270785
500,1,1,0.003,20,20,0.2621228
500,1,1,0.003,50,2,0.2802487
500,1,1,0.003,50,4,0.2802487
500,15,15,0.003,50,6,0.2757628
500,1,1,0.003,50,10,0.2712792
500,1,1,0.003,50,20,0.2628924
500,1,1,0.003,100,2,0.2802485
500,1,1,0.003,100,4,0.2802486
500,1,1,0.003,100,6,0.2757314
500,1,1,0.003,100,10,0.2722969
500,31,31,0.003,100,20,0.2645142
500,1,1,0.005,1,2,0.2802488
500,1,1,0.005,1,4,0.2802507
500,13,13,0.005,1,6,0.275749
500,1,1,0.005,1,10,0.2716748
