number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
2500,30,30,0.05,5,20,0.2604832
2500,1,1,0.05,20,2,0.2802486
2500,1,1,0.05,20,4,0.280225
2500,9,9,0.05,20,6,0.275641
2500,14,14,0.05,20,10,0.2692675
2500,24,24,0.05,20,20,0.2615439
2500,1,1,0.05,50,2,0.2802486
2500,1,1,0.05,50,4,0.2802487
2500,1,1,0.05,50,6,0.275377
2500,10,10,0.05,50,10,0.2702655
2500,1,1,0.05,50,20,0.262469
2500,1,1,0.05,100,2,0.2802486
2500,1,1,0.05,100,4,0.2802487
2500,1,1,0.05,100,6,0.2756802
2500,43,43,0.05,100,10,0.2702399
2500,7,7,0.05,100,20,0.2644729
2500,1,1,0.1,1,2,0.2802486
2500,419,419,0.1,1,4,0.2628235
2500,3,3,0.1,1,6,0.275637
2500,105,105,0.1,1,10,0.2619693
2500,37,37,0.1,1,20,0.2627565
2500,1,1,0.1,5,2,0.2802488
2500,324,324,0.1,5,4,0.2642228
2500,2,2,0.1,5,6,0.2756527
2500,125,125,0.1,5,10,0.26119570000000003
2500,23,23,0.1,5,20,0.2606132
2500,1,1,0.1,20,2,0.2802487
2500,152,152,0.1,20,4,0.2685669
2500,2,2,0.1,20,6,0.2756153
2500,95,95,0.1,20,10,0.26359499999999997
2500,11,11,0.1,20,20,0.261611
2500,1,1,0.1,50,2,0.2802486
2500,1,1,0.1,50,4,0.2802487
2500,3,3,0.1,50,6,0.275641
2500,5,5,0.1,50,10,0.2703599
2500,1,1,0.1,50,20,0.26272090000000003
2500,1,1,0.1,100,2,0.2802485
2500,37,37,0.1,100,4,0.2768652
2500,1,1,0.1,100,6,0.2758338
2500,21,21,0.1,100,10,0.27023389999999997
2500,3,3,0.1,100,20,0.2644454
5e3,1,1,0.001,1,2,0.2802487
5e3,11,11,0.001,1,4,0.2802132
5e3,1,1,0.001,1,6,0.2757491
5e3,2,2,0.001,1,10,0.2711946
5e3,1,1,0.001,1,20,0.2652287
5e3,1,1,0.001,5,2,0.2802487
5e3,1,1,0.001,5,4,0.2800715
5e3,28,28,0.001,5,6,0.275751
5e3,5,5,0.001,5,10,0.2708224
5e3,35,35,0.001,5,20,0.2617349
5e3,1,1,0.001,20,2,0.2802486
5e3,1,1,0.001,20,4,0.2802487
5e3,13,13,0.001,20,6,0.275747
5e3,1,1,0.001,20,10,0.2709091
5e3,2,2,0.001,20,20,0.2619749
5e3,1,1,0.001,50,2,0.2802485
5e3,1,1,0.001,50,4,0.2802487
5e3,1,1,0.001,50,6,0.2757491
5e3,1,1,0.001,50,10,0.27113750000000003
5e3,1,1,0.001,50,20,0.2628411
5e3,1,1,0.001,100,2,0.2802485
5e3,1,1,0.001,100,4,0.2802486
5e3,1,1,0.001,100,6,0.275751
5e3,1,1,0.001,100,10,0.2714701
5e3,3,3,0.001,100,20,0.2645379
5e3,1,1,0.003,1,2,0.2802486
5e3,1,1,0.003,1,4,0.2799652
5e3,8,8,0.003,1,6,0.2757097
5e3,1,1,0.003,1,10,0.2714622
5e3,4,4,0.003,1,20,0.264652
5e3,1,1,0.003,5,2,0.2802486
5e3,1,1,0.003,5,4,0.2802565
5e3,1,1,0.003,5,6,0.2757631
5e3,2,2,0.003,5,10,0.2710233
5e3,40,40,0.003,5,20,0.2619927
5e3,1,1,0.003,20,2,0.2802486
5e3,1,1,0.003,20,4,0.2802487
5e3,1,1,0.003,20,6,0.2756743
5e3,1,1,0.003,20,10,0.2712419
5e3,1,1,0.003,20,20,0.26219749999999997
5e3,1,1,0.003,50,2,0.2802486
5e3,1,1,0.003,50,4,0.2802487
5e3,1,1,0.003,50,6,0.2757433
5e3,1,1,0.003,50,10,0.2714387
5e3,30,30,0.003,50,20,0.2627802
5e3,1,1,0.003,100,2,0.2802485
5e3,1,1,0.003,100,4,0.2802485
5e3,1,1,0.003,100,6,0.2757196
5e3,1,1,0.003,100,10,0.2715685
5e3,16,16,0.003,100,20,0.2647388
5e3,1,1,0.005,1,2,0.2802486
5e3,6,6,0.005,1,4,0.2802467
5e3,2,2,0.005,1,6,0.27575310000000003
5e3,1,1,0.005,1,10,0.2720783
5e3,156,156,0.005,1,20,0.2632525
5e3,1,1,0.005,5,2,0.2802487
5e3,2,2,0.005,5,4,0.2802486
5e3,2,2,0.005,5,6,0.27535149999999997
5e3,9,9,0.005,5,10,0.271163
5e3,99,99,0.005,5,20,0.2608707
5e3,1,1,0.005,20,2,0.2802486
5e3,1,1,0.005,20,4,0.2802485
5e3,1,1,0.005,20,6,0.27555229999999997
5e3,1,1,0.005,20,10,0.2711589
5e3,1,1,0.005,20,20,0.262223
5e3,1,1,0.005,50,2,0.2802486
5e3,1,1,0.005,50,4,0.2802171
5e3,8,8,0.005,50,6,0.275753
5e3,8,8,0.005,50,10,0.27103120000000003
5e3,6,6,0.005,50,20,0.2627742
5e3,1,1,0.005,100,2,0.2802486
5e3,1,1,0.005,100,4,0.2802488
5e3,2,2,0.005,100,6,0.2757531
5e3,1,1,0.005,100,10,0.2724009
5e3,3,3,0.005,100,20,0.2647621
5e3,1,1,0.01,1,2,0.2802488
5e3,4,4,0.01,1,4,0.2802486
5e3,19,19,0.01,1,6,0.2756724
5e3,1,1,0.01,1,10,0.2718185
5e3,138,138,0.01,1,20,0.2626324
5e3,1,1,0.01,5,2,0.2802487
5e3,14,14,0.01,5,4,0.2802487
5e3,12,12,0.01,5,6,0.2756644
5e3,17,17,0.01,5,10,0.2699289
5e3,38,38,0.01,5,20,0.261237
5e3,1,1,0.01,20,2,0.2802485
5e3,1,1,0.01,20,4,0.2802487
5e3,25,25,0.01,20,6,0.2756506
5e3,1,1,0.01,20,10,0.2711256
5e3,3,3,0.01,20,20,0.2620518
5e3,1,1,0.01,50,2,0.2802488
5e3,1,1,0.01,50,4,0.2802486
5e3,1,1,0.01,50,6,0.2757058
5e3,1,1,0.01,50,10,0.2718185
5e3,1,1,0.01,50,20,0.2628607
5e3,1,1,0.01,100,2,0.2802486
5e3,1,1,0.01,100,4,0.2802486
5e3,1,1,0.01,100,6,0.2757175
5e3,1,1,0.01,100,10,0.2717102
5e3,34,34,0.01,100,20,0.2645221
5e3,1,1,0.03,1,2,0.2802487
5e3,6,6,0.03,1,4,0.2802485
5e3,14,14,0.03,1,6,0.2753672
5e3,21,21,0.03,1,10,0.2692163
5e3,66,66,0.03,1,20,0.2624494
5e3,1,1,0.03,5,2,0.2802485
5e3,1,1,0.03,5,4,0.2802308
5e3,15,15,0.03,5,6,0.27545189999999997
5e3,22,22,0.03,5,10,0.2687873
5e3,16,16,0.03,5,20,0.2609179
5e3,1,1,0.03,20,2,0.2802486
5e3,1,1,0.03,20,4,0.2802486
5e3,12,12,0.03,20,6,0.2756291
5e3,21,21,0.03,20,10,0.2692714
5e3,33,33,0.03,20,20,0.2615578
5e3,1,1,0.03,50,2,0.2802486
5e3,1,1,0.03,50,4,0.28017580000000003
5e3,15,15,0.03,50,6,0.27565069999999997
5e3,20,20,0.03,50,10,0.2702025
5e3,3,3,0.03,50,20,0.2627406
5e3,1,1,0.03,100,2,0.2802485
5e3,1,1,0.03,100,4,0.2802485
5e3,1,1,0.03,100,6,0.2758162
5e3,1,1,0.03,100,10,0.2720252
5e3,1,1,0.03,100,20,0.2645398
5e3,1,1,0.05,1,2,0.2802486
5e3,7,7,0.05,1,4,0.2802489
5e3,9,9,0.05,1,6,0.2755287
5e3,12,12,0.05,1,10,0.2691929
5e3,51,51,0.05,1,20,0.2624514
5e3,1,1,0.05,5,2,0.2802488
5e3,4,4,0.05,5,4,0.2802486
5e3,8,8,0.05,5,6,0.2755838
5e3,13,13,0.05,5,10,0.2693699
5e3,33,33,0.05,5,20,0.26058749999999997
5e3,1,1,0.05,20,2,0.2802485
5e3,1,1,0.05,20,4,0.2802486
5e3,9,9,0.05,20,6,0.2755779
5e3,12,12,0.05,20,10,0.26952929999999997
5e3,15,15,0.05,20,20,0.2616109
5e3,1,1,0.05,50,2,0.28024859999999996
5e3,1,1,0.05,50,4,0.28017400000000003
5e3,9,9,0.05,50,6,0.2756233
5e3,10,10,0.05,50,10,0.270167
5e3,1,1,0.05,50,20,0.2626148
5e3,1,1,0.05,100,2,0.2802487
5e3,1,1,0.05,100,4,0.2802486
5e3,1,1,0.05,100,6,0.2758022
5e3,6,6,0.05,100,10,0.2716552
5e3,8,8,0.05,100,20,0.2645712
5e3,1,1,0.1,1,2,0.2802486
5e3,1,1,0.1,1,4,0.2800893
5e3,3,3,0.1,1,6,0.2756093
5e3,145,145,0.1,1,10,0.2616502
5e3,26,26,0.1,1,20,0.2624966
5e3,1,1,0.1,5,2,0.2802487
5e3,2,2,0.1,5,4,0.280211
5e3,3,3,0.1,5,6,0.2756607
5e3,120,120,0.1,5,10,0.2615321
5e3,14,14,0.1,5,20,0.2605187
5e3,1,1,0.1,20,2,0.2802485
5e3,139,139,0.1,20,4,0.2685649
5e3,2,2,0.1,20,6,0.2756408
5e3,72,72,0.1,20,10,0.2639631
5e3,7,7,0.1,20,20,0.2616423
5e3,1,1,0.1,50,2,0.2802488
5e3,95,95,0.1,50,4,0.2714071
5e3,3,3,0.1,50,6,0.275696
5e3,53,53,0.1,50,10,0.2671025
5e3,1,1,0.1,50,20,0.2628924
5e3,1,1,0.1,100,2,0.2802486
5e3,45,45,0.1,100,4,0.2768789
5e3,1,1,0.1,100,6,0.2758672
5e3,22,22,0.1,100,10,0.2703362
5e3,4,4,0.1,100,20,0.2645219
1e4,1,1,0.001,1,2,0.2802486
1e4,1,1,0.001,1,4,0.2802526
1e4,1,1,0.001,1,6,0.2757827
1e4,1,1,0.001,1,10,0.2716826
1e4,25,25,0.001,1,20,0.2648703
1e4,1,1,0.001,5,2,0.2802486
1e4,1,1,0.001,5,4,0.2800752
1e4,1,1,0.001,5,6,0.2757668
1e4,1,1,0.001,5,10,0.2710667
1e4,175,175,0.001,5,20,0.2615675
1e4,1,1,0.001,20,2,0.2802486
1e4,1,1,0.001,20,4,0.2802486
1e4,1,1,0.001,20,6,0.2757472
1e4,1,1,0.001,20,10,0.271293
1e4,14,14,0.001,20,20,0.2619513
1e4,1,1,0.001,50,2,0.2802486
1e4,1,1,0.001,50,4,0.2802485
1e4,4,4,0.001,50,6,0.275702
1e4,1,1,0.001,50,10,0.2715507
1e4,1,1,0.001,50,20,0.2627525
1e4,1,1,0.001,100,2,0.2802486
1e4,1,1,0.001,100,4,0.2802486
1e4,1,1,0.001,100,6,0.2758082
1e4,1,1,0.001,100,10,0.2715014
1e4,1,1,0.001,100,20,0.2646283
1e4,1,1,0.003,1,2,0.2802485
1e4,11,11,0.003,1,4,0.2802485
1e4,19,19,0.003,1,6,0.2757038
1e4,1,1,0.003,1,10,0.2712634
1e4,130,130,0.003,1,20,0.2643252
1e4,1,1,0.003,5,2,0.2802487
1e4,8,8,0.003,5,4,0.2802487
1e4,1,1,0.003,5,6,0.2757098
1e4,7,7,0.003,5,10,0.2707516
1e4,100,100,0.003,5,20,0.2612723
1e4,1,1,0.003,20,2,0.2802486
1e4,1,1,0.003,20,4,0.2802033
1e4,41,41,0.003,20,6,0.2756703
1e4,1,1,0.003,20,10,0.2713382
1e4,8,8,0.003,20,20,0.262107
1e4,1,1,0.003,50,2,0.2802486
1e4,1,1,0.003,50,4,0.2802486
1e4,1,1,0.003,50,6,0.2753044
1e4,1,1,0.003,50,10,0.2713873
1e4,6,6,0.003,50,20,0.2629021
1e4,1,1,0.003,100,2,0.2802487
1e4,1,1,0.003,100,4,0.2802486
1e4,27,27,0.003,100,6,0.2757217
1e4,9,9,0.003,100,10,0.2718519
1e4,7,7,0.003,100,20,0.2647582
1e4,1,1,0.005,1,2,0.2802485
1e4,9,9,0.005,1,4,0.2802506
1e4,60,60,0.005,1,6,0.2756173
1e4,2,2,0.005,1,10,0.2713402
1e4,169,169,0.005,1,20,0.2633312
1e4,1,1,0.005,5,2,0.2802485
1e4,1,1,0.005,5,4,0.280221
1e4,36,36,0.005,5,6,0.2756351
1e4,1,1,0.005,5,10,0.2712713
1e4,27,27,0.005,5,20,0.2615381
1e4,1,1,0.005,20,2,0.2802485
1e4,1,1,0.005,20,4,0.2802211
1e4,7,7,0.005,20,6,0.2750208
1e4,1,1,0.005,20,10,0.2707458
1e4,2,2,0.005,20,20,0.26157759999999997
1e4,1,1,0.005,50,2,0.2802487
1e4,1,1,0.005,50,4,0.2802486
1e4,3,3,0.005,50,6,0.2757294
1e4,5,5,0.005,50,10,0.2715053
1e4,4,4,0.005,50,20,0.2628371
1e4,1,1,0.005,100,2,0.2802487
1e4,1,1,0.005,100,4,0.28008320000000003
1e4,11,11,0.005,100,6,0.2757296
1e4,1,1,0.005,100,10,0.2718734
1e4,3,3,0.005,100,20,0.264636
1e4,1,1,0.01,1,2,0.2802487
1e4,4,4,0.01,1,4,0.2802487
1e4,23,23,0.01,1,6,0.2756605
1e4,59,59,0.01,1,10,0.2691456
1e4,184,184,0.01,1,20,0.2622604
1e4,1,1,0.01,5,2,0.2802485
1e4,4,4,0.01,5,4,0.2802487
1e4,18,18,0.01,5,6,0.2754066
1e4,21,21,0.01,5,10,0.2699703
1e4,18,18,0.01,5,20,0.2614378
1e4,1,1,0.01,20,2,0.2802487
1e4,1,1,0.01,20,4,0.2801896
1e4,34,34,0.01,20,6,0.2756368
1e4,1,1,0.01,20,10,0.2713933
1e4,13,13,0.01,20,20,0.261973
1e4,1,1,0.01,50,2,0.2802486
1e4,1,1,0.01,50,4,0.2802487
1e4,1,1,0.01,50,6,0.2757098
1e4,1,1,0.01,50,10,0.2718364
1e4,1,1,0.01,50,20,0.2630181
1e4,1,1,0.01,100,2,0.2802486
1e4,1,1,0.01,100,4,0.2802487
1e4,1,1,0.01,100,6,0.2757294
1e4,1,1,0.01,100,10,0.2721825
1e4,7,7,0.01,100,20,0.2647186
1e4,1,1,0.03,1,2,0.2802487
1e4,4,4,0.03,1,4,0.2802487
1e4,15,15,0.03,1,6,0.2756192
1e4,21,21,0.03,1,10,0.2691751
1e4,91,91,0.03,1,20,0.2623588
1e4,1,1,0.03,5,2,0.2802486
1e4,2,2,0.03,5,4,0.2802487
1e4,2,2,0.03,5,6,0.2756447
1e4,23,23,0.03,5,10,0.2692027
1e4,67,67,0.03,5,20,0.260426
1e4,1,1,0.03,20,2,0.2802485
1e4,1,1,0.03,20,4,0.2802487
1e4,16,16,0.03,20,6,0.2755701
1e4,22,22,0.03,20,10,0.2693877
1e4,30,30,0.03,20,20,0.2615046
1e4,1,1,0.03,50,2,0.2802485
1e4,1,1,0.03,50,4,0.2802487
1e4,15,15,0.03,50,6,0.2756309
1e4,19,19,0.03,50,10,0.2699957
1e4,1,1,0.03,50,20,0.2624908
1e4,1,1,0.03,100,2,0.2802488
1e4,1,1,0.03,100,4,0.2802486
1e4,1,1,0.03,100,6,0.2757197
1e4,2,2,0.03,100,10,0.27149
1e4,9,9,0.03,100,20,0.26450029999999997
1e4,1,1,0.05,1,2,0.2802486
1e4,3,3,0.05,1,4,0.2802486
1e4,7,7,0.05,1,6,0.2756486
1e4,172,172,0.05,1,10,0.2621324
1e4,71,71,0.05,1,20,0.2624043
1e4,1,1,0.05,5,2,0.2802485
1e4,1,1,0.05,5,4,0.2802014
1e4,13,13,0.05,5,6,0.2756034
1e4,14,14,0.05,5,10,0.2693562
1e4,25,25,0.05,5,20,0.2604398
1e4,1,1,0.05,20,2,0.28024879999999996
1e4,1,1,0.05,20,4,0.2802486
1e4,10,10,0.05,20,6,0.275578
1e4,13,13,0.05,20,10,0.2692891
1e4,18,18,0.05,20,20,0.2615874
1e4,1,1,0.05,50,2,0.2802486
1e4,1,1,0.05,50,4,0.2802487
1e4,11,11,0.05,50,6,0.2756783
1e4,11,11,0.05,50,10,0.2702675
1e4,1,1,0.05,50,20,0.2628155
1e4,1,1,0.05,100,2,0.2802486
1e4,1,1,0.05,100,4,0.2799673
1e4,1,1,0.05,100,6,0.2756745
1e4,40,40,0.05,100,10,0.27012959999999997
1e4,3,3,0.05,100,20,0.2646815
1e4,1,1,0.1,1,2,0.2802486
1e4,2,2,0.1,1,4,0.2802485
1e4,4,4,0.1,1,6,0.2756074
1e4,149,149,0.1,1,10,0.2614849
1e4,30,30,0.1,1,20,0.2625813
1e4,1,1,0.1,5,2,0.2802486
1e4,325,325,0.1,5,4,0.26449239999999996
1e4,1,1,0.1,5,6,0.2757275
1e4,147,147,0.1,5,10,0.2610815
1e4,16,16,0.1,5,20,0.2604299
1e4,1,1,0.1,20,2,0.2802486
1e4,1,1,0.1,20,4,0.2802488
1e4,3,3,0.1,20,6,0.27565850000000003
1e4,75,75,0.1,20,10,0.26370709999999997
1e4,11,11,0.1,20,20,0.26162070000000004
1e4,1,1,0.1,50,2,0.2802485
1e4,25,25,0.1,50,4,0.2763986
1e4,1,1,0.1,50,6,0.2756743
1e4,55,55,0.1,50,10,0.2666713
1e4,1,1,0.1,50,20,0.2625577
1e4,1,1,0.1,100,2,0.2802487
1e4,42,42,0.1,100,4,0.2769044
1e4,1,1,0.1,100,6,0.2757294
1e4,24,24,0.1,100,10,0.2698582
1e4,4,4,0.1,100,20,0.26460670000000003
